 Number of Queries,Regret
242,[0.]
107,[0.]
103,[0.]
212,[0.]
193,[0.]
192,[0.]
111,[0.]
226,[0.]
98,[0.]
190,[0.]
134,[0.]
177,[0.]
220,[0.]
101,[0.]
162,[0.]
106,[0.]
101,[0.]
120,[0.]
322,[0.]
240,[0.]
154,[0.]
344,[0.]
107,[0.]
98,[0.]
123,[0.]
113,[0.]
180,[0.]
289,[0.]
187,[0.]
174,[0.]
98,[0.]
183,[0.]
153,[0.]
172,[0.]
165,[0.]
97,[0.]
139,[0.]
271,[0.]
111,[0.]
190,[0.]
106,[0.]
155,[0.]
102,[0.]
201,[0.]
153,[0.]
224,[0.]
121,[0.]
116,[0.]
97,[0.]
237,[0.]
166,[0.]
140,[0.]
180,[0.]
238,[0.]
95,[0.]
169,[0.]
132,[0.]
211,[0.]
104,[0.]
158,[0.]
141,[0.]
194,[0.]
179,[0.]
102,[0.]
102,[0.]
168,[0.]
99,[0.]
253,[0.]
216,[0.]
239,[0.]
155,[0.]
224,[0.]
254,[0.]
175,[0.]
156,[0.]
101,[0.]
175,[0.]
175,[0.]
209,[0.]
188,[0.]
192,[0.]
184,[0.]
103,[0.]
102,[0.]
299,[0.]
220,[0.]
220,[0.]
108,[0.]
150,[0.]
170,[0.]
168,[0.]
217,[0.]
100,[0.]
120,[0.]
107,[0.]
186,[0.]
139,[0.]
230,[0.]
101,[0.]
133,[0.]
