Number of Queries,Regret
132,[0.]
117,[0.]
189,[0.]
111,[0.]
169,[0.]
146,[0.]
105,[0.]
185,[0.]
138,[0.]
199,[0.]
100,[0.]
119,[0.]
136,[0.]
103,[0.]
100,[0.]
134,[0.00579738]
164,[0.]
206,[0.]
174,[0.]
110,[0.]
125,[0.]
108,[0.]
112,[0.]
99,[0.]
145,[0.]
122,[0.]
130,[0.]
174,[0.]
115,[0.]
102,[0.]
108,[0.]
112,[0.]
99,[0.]
120,[0.]
208,[0.]
182,[0.]
128,[0.]
181,[0.]
115,[0.00674933]
112,[0.]
137,[0.]
133,[0.]
118,[0.]
133,[0.]
116,[0.00526571]
166,[0.]
214,[0.]
112,[0.]
112,[0.]
102,[0.]
99,[0.]
146,[0.]
119,[0.]
145,[0.]
100,[0.]
144,[0.]
250,[0.]
176,[0.]
143,[0.]
129,[0.]
113,[0.]
132,[0.]
104,[0.]
120,[0.]
128,[0.]
184,[0.]
102,[0.]
134,[0.]
204,[0.]
179,[0.]
117,[0.]
153,[0.]
187,[0.]
155,[0.]
103,[0.]
115,[0.]
163,[0.]
197,[0.]
204,[0.]
110,[0.]
112,[0.]
182,[0.]
100,[0.]
174,[0.]
103,[0.]
173,[0.]
175,[0.]
169,[0.]
141,[0.]
212,[0.]
190,[0.]
128,[0.]
109,[0.]
151,[0.]
214,[0.]
107,[0.]
208,[0.]
104,[0.]
127,[0.]
108,[0.]
